feat_01,feat_11,feat_02,feat_12,feat_03,feat_13,feat_04,feat_14,feat_05,feat_15,Accuracy
0.498318388,0.490062981,0.446543425,0.552900508,0.503430084,0.50367902,0.505714978,0.487652099,0.490679701,0.507388108,0.1
0.499945265,0.497555028,0.489687386,0.501210768,0.511438031,0.499303248,0.502232887,0.496701781,0.495341323,0.470488153,0.939
0.488567898,0.483487174,0.482794379,0.51595836,0.5088667,0.481209939,0.496787467,0.502803009,0.491172668,0.511201464,0.9555
0.473140749,0.50903726,0.524463778,0.471599068,0.527710873,0.466738353,0.45975305,0.494284501,0.471517467,0.480152186,0.960333333
0.504029204,0.475543026,0.473914441,0.481305983,0.493056672,0.518222576,0.49890604,0.488499509,0.488003133,0.494977795,0.96575
0.533743354,0.475933686,0.517913152,0.497251413,0.523722434,0.518171596,0.514210004,0.492808797,0.495650485,0.485311516,0.9698
0.486928671,0.523477169,0.479475369,0.505667287,0.505435277,0.474613432,0.474852083,0.509928326,0.520521438,0.474296704,0.972833333
0.511015006,0.479738829,0.528781337,0.512352111,0.469365174,0.488759385,0.521956356,0.498152691,0.490261243,0.479038359,0.975714286
0.493445856,0.522577666,0.502899857,0.524442101,0.534461286,0.520945316,0.512760743,0.517919827,0.470366273,0.506832955,0.977
0.475971236,0.54571355,0.513529036,0.563017891,0.485352752,0.500893081,0.533714764,0.509894106,0.501329882,0.501092974,0.978
0.52377383,0.47703147,0.533336626,0.49755027,0.548966573,0.466074748,0.502708219,0.497010763,0.514270236,0.519359655,0.9792
0.549249728,0.504204566,0.546080685,0.523180411,0.503684254,0.510208342,0.502676487,0.512569421,0.483938201,0.516535621,0.979636364
0.513126418,0.482376738,0.490407805,0.51065291,0.500776449,0.508418041,0.460491944,0.516238598,0.517744429,0.492369212,0.980583333
0.482280754,0.476345515,0.535000972,0.474831174,0.523373394,0.497171534,0.483205577,0.495921257,0.475312685,0.466810961,0.981
0.461921144,0.473708096,0.503207086,0.476745297,0.491224411,0.509513553,0.434916979,0.518609435,0.499293389,0.498113867,0.984214286
0.530322505,0.486412295,0.503414969,0.48736986,0.519884596,0.516294573,0.512111873,0.485539529,0.473479259,0.531351939,0.98465
0.50039475,0.478424669,0.49342935,0.518869572,0.482009656,0.508069928,0.493472432,0.506583432,0.471071323,0.510788138,0.985322917
0.497346342,0.483213979,0.475758678,0.499505597,0.534036415,0.512950485,0.479615879,0.502632335,0.496667966,0.472111061,0.985044118
0.491113477,0.527007681,0.48187733,0.457636999,0.523129817,0.481946497,0.50416964,0.549772904,0.474437187,0.497823442,0.985572222
0.519092868,0.481786814,0.5095906,0.504324773,0.486755133,0.510726668,0.494515977,0.508233105,0.517534287,0.451060568,0.98604386
0.513486796,0.533538183,0.497878535,0.472651536,0.50052716,0.48846669,0.49510165,0.521041093,0.471832105,0.520692414,0.986589286
0.527431921,0.48293331,0.507604708,0.52068014,0.516085256,0.467720125,0.503069966,0.4862683,0.476965131,0.480842753,0.986845238
0.50934857,0.469603758,0.490688236,0.502449683,0.485120809,0.538470169,0.501786387,0.508703202,0.491302576,0.498432147,0.987207071
0.487868211,0.49663752,0.497292816,0.489152737,0.477398348,0.502302976,0.509692983,0.500502475,0.504294616,0.515158689,0.987478261
0.492589296,0.432948879,0.527168369,0.489581235,0.500922798,0.472693134,0.493959278,0.504164058,0.470880902,0.497257648,0.987839962
0.478208293,0.50383435,0.513253151,0.537405182,0.543598778,0.498265395,0.503841825,0.540360374,0.486052367,0.497112882,0.98833
0.484007891,0.529370406,0.509110807,0.489924228,0.511229078,0.482566745,0.480864104,0.493374695,0.496127173,0.494128567,0.988846154
0.506946338,0.50685785,0.496116464,0.515298099,0.507080393,0.520344087,0.509028796,0.503543009,0.473849398,0.491752767,0.989293651
