feat_01,feat_11,feat_02,feat_12,feat_03,feat_13,feat_04,feat_14,feat_05,feat_15,feat_06,feat_16,feat_07,feat_17,feat_08,feat_18,feat_09,feat_19,feat_10,feat_20,Accuracy
0.481043941,0.486968526,0.515592835,0.493157437,0.491410978,0.54993459,0.401675872,0.555866426,0.447608523,0.479306406,0.559251645,0.528051635,0.504942745,0.478940592,0.50648721,0.496363607,0.453228429,0.52581582,0.528130972,0.488960396,0.01
0.478211794,0.548385337,0.521678737,0.446724718,0.477501486,0.539180061,0.501873285,0.463241475,0.526269162,0.520991205,0.4966069,0.47761529,0.49406302,0.48100018,0.510402753,0.512403382,0.488426665,0.470750584,0.502255982,0.470225722,0.939
0.526323126,0.459707346,0.45081267,0.507267001,0.493951867,0.497919798,0.471636892,0.533996922,0.506091549,0.493346055,0.511641852,0.469073823,0.500306489,0.509618041,0.493268446,0.495987976,0.500434173,0.506689811,0.481911163,0.515713118,0.9555
0.442803416,0.502892669,0.503478082,0.515181851,0.513544325,0.481229943,0.535383232,0.461968194,0.526038525,0.450568157,0.529383221,0.482908549,0.456091132,0.500678823,0.463414968,0.487890179,0.467375359,0.511646773,0.475659574,0.4486576,0.960333333
0.518409825,0.462851582,0.489648583,0.48823447,0.500948194,0.496938427,0.446880689,0.465673539,0.465718666,0.529662946,0.520394677,0.506782205,0.517762553,0.503623621,0.480049527,0.473375398,0.47348868,0.486131147,0.502517587,0.503824444,0.96575
0.519593007,0.463532804,0.5478937,0.488334568,0.512092686,0.513403465,0.523733619,0.481099362,0.512021439,0.495212751,0.535423428,0.541130441,0.513346272,0.474020823,0.515073736,0.511596772,0.467113854,0.484497514,0.524187115,0.486125519,0.9698
0.476127647,0.540738388,0.497729695,0.50621595,0.480562212,0.496304972,0.478388525,0.515029602,0.50265303,0.480393849,0.508217524,0.468833015,0.469937902,0.496225542,0.479766263,0.52363111,0.521499349,0.486421008,0.519543526,0.4621724,0.972833333
0.520931329,0.45460466,0.501098682,0.504872998,0.539293102,0.497532299,0.518269571,0.527171923,0.489520699,0.495633031,0.44920965,0.481885739,0.511797677,0.527789966,0.532115035,0.468515416,0.48881885,0.487946827,0.491703637,0.470129892,0.975714286
0.542459434,0.510549119,0.444432278,0.534606214,0.483280028,0.53885052,0.522519686,0.510033683,0.533008063,0.501497611,0.535914509,0.540393022,0.505486601,0.531371531,0.520034884,0.504468122,0.459813929,0.51148897,0.480918617,0.502176941,0.977
0.500263331,0.567071623,0.451679141,0.524355477,0.501139238,0.52834946,0.525918834,0.597686321,0.498909295,0.520982376,0.471796208,0.480803786,0.529479009,0.568817436,0.537950519,0.450970776,0.507513084,0.468294827,0.495146681,0.53389112,0.978
0.51716352,0.454922951,0.53038414,0.499139988,0.518064695,0.485112389,0.548608557,0.509988151,0.581157355,0.495359997,0.516775791,0.436789499,0.503139088,0.500212744,0.502277351,0.493808782,0.509141103,0.528824491,0.519399369,0.509894819,0.9792
