0
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 100, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 200, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 100, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 200, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 200, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 200, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 100, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 100, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 10, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 100, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 200, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 100, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 10, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 10, 'grace_period': 10, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 10, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 60, 'grace_period': 10, '_max_size': 5}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 200, '_max_size': 10}]"
"MaxAbsScaler['HoeffdingTreeClassifier', {'max_depth': 30, 'grace_period': 10, '_max_size': 5}]"
