x,y,"f(x,y)"
1,1,0.9627217218173988
1,2,-1.9475405982892848
1,3,-4.8884377827053775
1,4,-8.243890012699525
1,5,-10.823850644812309
1,6,-13.933188519395452
1,7,-16.80921231446164
1,8,-20.00955653627951
1,9,-22.875233666976033
1,10,-25.858406946887207
1,11,-29.015083878735005
1,12,-32.13252808369233
1,13,-35.096134188777626
1,14,-37.96861730758763
1,15,-40.93377200372772
1,16,-43.79931647743401
1,17,-47.04305335896584
1,18,-49.898852551331096
1,19,-53.112475505992265
1,20,-55.984821902678696
1,21,-58.91959716818508
1,22,-61.989695993368876
1,23,-65.00299196376726
1,24,-68.07148281150286
1,25,-71.18298911959519
1,26,-74.12086297541362
1,27,-77.00295415783337
1,28,-79.88624920007625
1,29,-82.99439483245578
1,30,-85.89174915792482
1,31,-89.04373734828658
1,32,-91.94599303918316
1,33,-95.05202376573352
1,34,-97.87925691112764
1,35,-100.7208115157455
1,36,-104.00394855372032
1,37,-107.02647679118242
1,38,-110.04670684333159
1,39,-113.06784840111031
1,40,-115.89761957036048
1,41,-119.03338409394384
1,42,-122.08475889551266
1,43,-125.08597700274721
1,44,-128.06296629422985
1,45,-130.9504301617356
1,46,-133.91458968860238
1,47,-137.06426873015397
1,48,-140.02361160754796
1,49,-142.87682750920996
2,1,9.922515464000332
2,2,4.0241795424045215
2,3,-2.0435517804327326
2,4,-8.024561054516024
2,5,-13.985570326889444
2,6,-19.909179261536394
2,7,-26.112462426400285
2,8,-32.06055593596585
2,9,-38.05830555947702
2,10,-43.831530993707474
2,11,-49.86005398644715
2,12,-55.85819761394621
2,13,-61.97297108407864
2,14,-68.02947758288316
2,15,-73.92576493742068
2,16,-80.08478461303642
2,17,-86.07018501045425
2,18,-92.0884174947814
2,19,-97.96343032686967
2,20,-104.13184399259482
2,21,-109.99336238594077
2,22,-115.82562290127004
2,23,-121.90171940415064
2,24,-127.83350601359686
2,25,-134.13357899076487
2,26,-140.01825658554145
2,27,-145.97157705725783
2,28,-151.84015299297235
2,29,-157.89387403684944
2,30,-164.0020502507756
2,31,-170.1769468686236
2,32,-176.00160816646286
2,33,-181.95086826221663
2,34,-188.06731593446028
2,35,-193.7435313715218
2,36,-200.0510713496035
2,37,-205.92713932420907
2,38,-212.03349094288174
2,39,-217.83981158323866
2,40,-224.21775041305654
2,41,-229.77874270904502
2,42,-235.86416935108264
2,43,-242.04770395306292
2,44,-247.9915094539363
2,45,-253.99309692123106
2,46,-260.0801893724862
2,47,-266.15692879255994
2,48,-271.891520223188
2,49,-277.9611083589815
3,1,26.96979584905749
3,2,18.020243116777348
3,3,9.151545847607764
3,4,0.05486367060621248
3,5,-8.899269855273365
3,6,-17.913233983213022
3,7,-26.99127547791196
3,8,-36.00248824296169
3,9,-44.89795192186384
3,10,-54.02103192953488
3,11,-62.956347726234824
3,12,-72.00142591000167
3,13,-80.9476087006328
3,14,-90.0189190209489
3,15,-98.99344528130247
3,16,-107.97616199208262
3,17,-116.90862940602912
3,18,-125.89802434676847
3,19,-134.9880731622618
3,20,-144.05650598706114
3,21,-152.8804314629824
3,22,-162.08782284867112
3,23,-171.08107756758042
3,24,-180.02866729604207
3,25,-189.03745493430105
3,26,-198.1160287400435
3,27,-206.94827672542309
3,28,-216.16240407460216
3,29,-224.92321967951293
3,30,-233.94215781230938
3,31,-242.91034185671865
3,32,-252.13200822226727
3,33,-261.0162364726052
3,34,-269.9567090717597
3,35,-278.9842688845248
3,36,-287.9016929789936
3,37,-297.06322551298393
3,38,-305.9684055801334
3,39,-315.15532446852336
3,40,-324.01858074579206
3,41,-332.9940551898964
3,42,-342.01646801925904
3,43,-350.904901193369
3,44,-359.8194224098985
3,45,-368.99305299290154
3,46,-378.08167661002653
3,47,-386.970689348555
3,48,-395.92529429467794
3,49,-405.0734444869069
4,1,52.01229612360633
4,2,39.88114506938414
4,3,28.130865300469694
4,4,15.905874872345692
4,5,3.9808826772900603
4,6,-8.149401312248475
4,7,-19.99811106935911
4,8,-32.008289756699035
4,9,-43.92231306338803
4,10,-56.04865892526114
4,11,-68.02654365063492
4,12,-80.10200005214034
4,13,-91.91340467771153
4,14,-104.15684999279945
4,15,-115.85646914341683
4,16,-127.93156961622175
4,17,-139.95616765209166
4,18,-151.9532789915301
4,19,-164.00204150285245
4,20,-176.02774182110224
4,21,-188.01646962239133
4,22,-200.10342169454086
4,23,-211.86224255573313
4,24,-224.00018970719557
4,25,-236.2904497914787
4,26,-248.0127543761094
